Part,Qty Needed,Total Cost,Why?,Anything Else?,Link
2040 T-slot extrusion 350mm,4,$27.00,For base of the frame,Clear Anodize | HFS5-2040-350,https://us.misumi-ec.com/vona2/detail/110302684350/?HissuCode=HFS5-2040-350&PNSearch=HFS5-2040-350&searchFlow=results2type&KWSearch=HFS5-2040-350&seriesCode=110302684350&tab=drawingAndSpecifications&Page=1
2020 T-slot extrusion 350mm,3,$17.31,For the X Axis and the two Z towers,Clear Anodize | HFS5-2020-350,https://us.misumi-ec.com/vona2/detail/110302683830/?seriesCode=110302683830&tab=drawingAndSpecifications&CategorySpec=00000332694%3A%3A350%0900000042737%3A%3Aa&Page=1
M5 T-Nut Kit,1,$4.92,To join parts,It has 100Pcs,https://www.aliexpress.us/item/3256808597854176.html?spm=a2g0o.productlist.main.12.191a8yRy8yRytu&algo_pvid=2e13c075-284e-486d-81dc-2b0e88c02a7e&algo_exp_id=2e13c075-284e-486d-81dc-2b0e88c02a7e-34&pdp_ext_f=%7B%22order%22%3A%22468%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.26%211.26%21%21%2129.36%218.68%21%402101d49617730345891458336e1016%2112000046653020050%21sea%21US%216407866782%21X%211%210%21n_tag%3A-29919%3Bd%3A921daadf%3Bm03_new_user%3A-29895%3BpisId%3A5000000198764574&curPageLogUid=Rnu7snFro4kU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008784168928%7C_p_origin_prod%3A
M5 8mm Bolt Kit,1,$4.99,To screw into the T Nuts,It has 100Pcs,https://www.amazon.com/Stainless-Threaded-Spanner-Furniture-Fixture/dp/B0FPG1VZYH/ref=sr_1_11?crid=22K53G0LUD6FA&dib=eyJ2IjoiMSJ9.vWsNoK4OozeAWWU6Ryb6ErHX_0r46H_TjpcLIPt7IljHUCN83vnWYpiMQG5hEe3dZp2v6C5KZmla7kMGAI3v_fzkP9yJOu8coit5zHc5COlMxwySvyId7DICoz8MA5Mz2vUAjA979aJKWrKP2QoEOdI7JRnRGiAGIW_DNb3GbK16WxB65eU_GqQQ2VPqpZpw-5x5ppLqngBls9KlvxiTZLfDE_uAA3uqjYo5mVmf1CujuRvPiA8JZgYRragOJf9nt9FzmNbwL02FEyh4hyQEAzLQtnKEZAGgdB0dAyApP3c.lhqTz8gImQdgQ8rvMTSW_E9ugqQygPCv9vfRClb9MbM&dib_tag=se&keywords=M5%2B8mm%2BBolt&qid=1773035456&s=hi&sprefix=m5%2B8mm%2Bbolt%2Ctools%2C375&sr=1-11&th=1
8mm smooth rod 350mm,6,$28.74,"For Y Guiding For the Bed and For Z Guiding For the Linear Rail
",6Pcs 8mm x 350mm,https://www.aliexpress.us/item/3256807362660070.html?spm=a2g0o.cart.0.0.69a938daZ6FrZq&mp=1&pdp_npi=6%40dis%21USD%21USD%204.91%21USD%204.79%21%21USD%204.79%21%21%21%402101d9ef17733711875434095e93c7%2112000041253230745%21ct%21US%216407866782%21%214%210%21&_gl=1*1252gl5*_gcl_au*MjA1NjAxNzA2NS4xNzcyNjYyNTQ1*_ga*MzAwMDc4MTAwLjE3NzMzNjk0NTI.*_ga_VED1YSGNC7*czE3NzMzNjk0NTIkbzEkZzEkdDE3NzMzNzExOTEkajYwJGwwJGgw&gatewayAdapt=glo2usa
LM8UU linear bearing,12,$6.32,"2 per rod, slides along smooth rod",10Pcs,https://www.amazon.com/Bearings-Diameter-Bushing-Engraving-Projects/dp/B0GCKMDYPG/ref=sr_1_1_hul_wg?crid=3JV58YK5J5Y5A&dib=eyJ2IjoiMSJ9.FjQqjAJsV5WbzuQBIKh4uICaY6XsRx0wkfLQBNPa-JfFVs3D_R3VDs5g18kKlHO2JWPoIiCY6k6bY00ivfc2Tp88FAGqJonMzOORNG6WtbeborIYyqFXq5lYXrTmDW3PoJLSVsykhiYdq-NJWei6NpJxrAVmWTJVnp9k5QjSyIxnhY-JLN0P21uVNm9Ft5eFxlWsvfHYcot8ipPVo5rwYbIThujiAMV9mzcPTo0cQQI.QR5VWTKkrDIYqLguwWSBLOltX4sS8Okp-J9pQHABm0g&dib_tag=se&keywords=LM8UU+linear+bearing&qid=1773280944&s=bazaar&sprefix=lm8uu+linear+bearing%2Cbazaar%2C250&sr=1-1&srs=121974693011&psc=1
T8 leadscrew 330mm,2,$9.54,For Z Movement for the Linear Rail,2Pcs 330mm Lead 8mm with nut,https://www.aliexpress.us/item/3256805992640426.html?src=google&pdp_npi=4%40dis%21USD%212.25%212.25%21%21%21%21%21%40%2112000036155784028%21ppc%21%21%21&gatewayAdapt=glo2usa
5mm to 8mm flexible shaft coupler,2,$3.94,Z motor to leadscrew,5mm x 8mm,https://www.aliexpress.us/item/3256807100994003.html?src=google&pdp_npi=4%40dis%21USD%211.97%211.97%21%21%21%21%21%40%2112000040074981888%21ppc%21%21%21&gatewayAdapt=glo2usa
GT2 6mm open belt,1,$3.90,To move X and Y,White 5M,https://www.aliexpress.us/item/3256805175395061.html?spm=a2g0o.cart.0.0.157038daMZe04U&mp=1&pdp_npi=6%40dis%21USD%21USD%203.90%21USD%203.90%21%21USD%203.90%21%21%21%40210318a717733745502321697e9a1a%2112000045728535025%21ct%21US%216407866782%21%211%210%21&_gl=1*14va9ah*_gcl_au*MjA1NjAxNzA2NS4xNzcyNjYyNTQ1*_ga*MzAwMDc4MTAwLjE3NzMzNjk0NTI.*_ga_VED1YSGNC7*czE3NzMzNjk0NTIkbzEkZzEkdDE3NzMzNzQ1NDEkajQ3JGwwJGgw&gatewayAdapt=glo2usa
20T GT2 pulley 5mm bore,4,$3.96,On X and Y motor shafts,20 Teeth 5mm,https://www.temu.com/goods.html?_bg_fs=1&goods_id=601099817656513&sku_id=17593433606200&_oak_page_source=501&_x_sessn_id=f9m3rl7de6&refer_page_name=shopping_cart&refer_page_id=10037_1773374807565_gnod08gmph&refer_page_sn=10037
GT2 5mm smooth idler pulley,4,$6.78,Belt routing and tensioning,5Pcs 20T W6 B5 Without Teeth,https://www.aliexpress.us/item/3256806303110250.html?spm=a2g0o.productlist.main.13.3ac2LavLLavLn3&algo_pvid=8fff1888-68ea-4289-b92b-286952b25f2e&algo_exp_id=8fff1888-68ea-4289-b92b-286952b25f2e-12&pdp_ext_f=%7B%22order%22%3A%22183%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.62%216.62%21%21%216.62%216.62%21%402101e2b217731084661508778e4a78%2112000037392759034%21sea%21US%216407866782%21X%211%210%21n_tag%3A-29919%3Bd%3Afb4f9bc5%3Bm03_new_user%3A-29895&curPageLogUid=b8VNkbBWfE8c&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006489425002%7C_p_origin_prod%3A
Nema17 Stepper Motor 17HS4401,1,$0.99,Y,,https://www.aliexpress.us/item/3256808273084374.html?spm=a2g0o.cart.0.0.1c7738dampQkTH&mp=1&pdp_npi=6%40dis%21USD%21USD%207.47%21USD%207.47%21%21USD%207.47%21%21%21%40210311cc17733772693985685eda31%2112000045225398666%21ct%21US%216407866782%21%211%210%21&_gl=1*11g0vmm*_gcl_au*MjA1NjAxNzA2NS4xNzcyNjYyNTQ1*_ga*MzAwMDc4MTAwLjE3NzMzNjk0NTI.*_ga_VED1YSGNC7*czE3NzMzNjk0NTIkbzEkZzEkdDE3NzMzNzc1MjUkajYwJGwwJGgw&gatewayAdapt=glo2usa
Nema 17 Stepper Motor 42HS34,3,$17.88,"X, 2x Z",,https://www.aliexpress.us/item/3256805095424554.html?spm=a2g0o.cart.0.0.1c7738dampQkTH&mp=1&pdp_npi=6%40dis%21USD%21USD%205.96%21USD%205.96%21%21USD%205.96%21%21%21%40210311cc17733772693985685eda31%2112000040072246972%21ct%21US%216407866782%21%213%210%21&_gl=1*18kyfve*_gcl_au*MjA1NjAxNzA2NS4xNzcyNjYyNTQ1*_ga*MzAwMDc4MTAwLjE3NzMzNjk0NTI.*_ga_VED1YSGNC7*czE3NzMzNjk0NTIkbzEkZzEkdDE3NzMzNzc1NTUkajMwJGwwJGgw&gatewayAdapt=glo2usa
Sherpa Mini Extruder,1,$17.55,Extruder,,https://www.aliexpress.us/item/3256804374952371.html?src=google&pdp_npi=4%40dis%21USD%2120.99%2119.94%21%21%21%21%21%40%2112000029621576684%21ppc%21%21%21&gatewayAdapt=glo2usa
TZ V6 Hotend,1,$7.46,Hotend,TZ V6,https://www.aliexpress.us/item/3256808497028944.html?spm=a2g0o.productlist.main.1.4ffd7faenqAKQL&algo_pvid=5316bac1-21c7-47c3-ad2c-f0f93d6d6f7f&algo_exp_id=5316bac1-21c7-47c3-ad2c-f0f93d6d6f7f-0&pdp_ext_f=%7B%22order%22%3A%22195%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2117.46%2113.26%21%21%2117.46%2113.26%21%402101d49617733787151283565ecf28%2112000046226845536%21sea%21US%216407866782%21X%211%210%21n_tag%3A-29919%3Bd%3Afb4f9bc5%3Bm03_new_user%3A-29895%3BpisId%3A5000000202126280&curPageLogUid=79nhbArLE8BA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008683343696%7C_p_origin_prod%3A
Dual 5015 Blower Fans,2,$4.79,Fans,2pcs 24v Sleeve 4500RPM,https://www.aliexpress.us/item/3256807420529511.html?spm=a2g0o.cart.0.0.cfca38da28dllf&mp=1&pdp_npi=6%40dis%21USD%21USD%204.79%21USD%200.99%21%21USD%200.99%21%21%21%40210319b717733797729343988e7f90%2112000041504669196%21ct%21US%216407866782%21%211%210%21&_gl=1*a8td38*_gcl_au*MjA1NjAxNzA2NS4xNzcyNjYyNTQ1*_ga*MzAwMDc4MTAwLjE3NzMzNjk0NTI.*_ga_VED1YSGNC7*czE3NzMzNjk0NTIkbzEkZzEkdDE3NzMzNzk3NzEkajI0JGwwJGgw&gatewayAdapt=glo2usa
4010 Axial Fan,1,$3.84,Fan,,https://www.aliexpress.us/item/3256806505312112.html?spm=a2g0o.productlist.main.10.1479bHRYbHRYJd&algo_pvid=28d92d53-2aff-46a9-953f-226cd2e924f3&algo_exp_id=28d92d53-2aff-46a9-953f-226cd2e924f3-27&pdp_ext_f=%7B%22order%22%3A%22533%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.85%210.99%21%21%2126.31%216.77%21%402103212317732739343647251ea363%2112000039270643217%21sea%21US%216407866782%21X%211%210%21n_tag%3A-29919%3Bd%3A2673a7a4%3Bm03_new_user%3A-29895%3BpisId%3A5000000202126280&curPageLogUid=f7DXmx63Z9Cv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006691626864%7C_p_origin_prod%3A
PTFE tube 1m,1,$2.35,Filament Tube,1m,https://www.aliexpress.us/item/3256807604679758.html?spm=a2g0o.productlist.main.2.784bPSAXPSAX8W&algo_pvid=9ea72d88-953f-4669-8620-09076723e72d&algo_exp_id=9ea72d88-953f-4669-8620-09076723e72d-1&pdp_ext_f=%7B%22order%22%3A%22880%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.03%210.99%21%21%212.03%210.99%21%402101e07217732740793832748ec88a%2112000042231730921%21sea%21US%216407866782%21X%211%210%21n_tag%3A-29919%3Bd%3A2673a7a4%3Bm03_new_user%3A-29895%3BpisId%3A5000000202126280&curPageLogUid=zfQeqruhbkQQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007790994510%7C_p_origin_prod%3A
Heated Bed,1,$21.59,235mm Heated Bed,,https://www.amazon.com/Ender-V2-Heated-Bed-Replacement/dp/B08VHTW8CQ/ref=sr_1_2?crid=1OBSAFX556PAU&dib=eyJ2IjoiMSJ9.qYXyEGpXpMHgMsOgM7BdCYBf9YjhT_RQlWRF3ngEI9-9GsmYrEPOLNpbYJNCkHD-atrpPABGGqATQGpSHUn-BhfP0uPwO4iJ4cl7_8_-XcDLbT00BAfhXjzuyZDFZiUUlrn3KnMe1NK4wggF-guKl4RMIqXM_NmKfm-_UKgqSEUZAdhTr12DbjgihHbmbg_6ZrVfVUP6FiC6KUTZAOtF3zxBEtksVSZtsjt4gl_ulvM.Wpxh4oy56O7y4VNDPEtYo7YitBeQF174MZFPk_F_1MA&dib_tag=se&keywords=235mm+x+235mm+heat+bed&qid=1773381986&sprefix=235mm+x+235mm+heat+be%2Caps%2C199&sr=8-2
235mm PEI Build Plate,1,$7.94,235mm Build Plate,,https://www.aliexpress.us/item/3256808391943560.html?spm=a2g0o.productlist.main.1.2b07wTX7wTX739&algo_pvid=32778363-00eb-42d2-8bac-73909da68548&algo_exp_id=32778363-00eb-42d2-8bac-73909da68548-0&pdp_ext_f=%7B%22order%22%3A%22278%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2115.92%213.76%21%21%21108.75%2125.69%21%402103122117732748016598570e55e3%2112000045803650292%21sea%21US%216407866782%21X%211%210%21n_tag%3A-29919%3Bd%3A1a2464d9%3Bm03_new_user%3A-29895%3BpisId%3A5000000202126280&curPageLogUid=n9RwhLDzKk6A&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008578258312%7C_p_origin_prod%3A
Silicone bed leveling mounts,4,$2.67,Attaches Bed to Bed Carridge,4pcs,https://www.aliexpress.us/item/3256809017739961.html?spm=a2g0o.productlist.main.1.1252TkY4TkY4B1&algo_pvid=8a259ee8-8193-4366-b9ed-3d3ea152fe02&algo_exp_id=8a259ee8-8193-4366-b9ed-3d3ea152fe02-0&pdp_ext_f=%7B%22order%22%3A%22738%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.68%210.99%21%21%2118.28%216.74%21%402103122117732749175574401e55ac%2112000048292025251%21sea%21US%216407866782%21X%211%210%21n_tag%3A-29919%3Bd%3A1a2464d9%3Bm03_new_user%3A-29895%3BpisId%3A5000000202126280&curPageLogUid=N3SoxEZlCpfR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009204054713%7C_p_origin_prod%3A
BTT SKR MINI E3 V3.0,1,$27.60,MCU,,https://www.aliexpress.us/item/3256808846534149.html?spm=a2g0o.cart.0.0.7e7538daIk6CkL&mp=1&pdp_npi=6%40dis%21USD%21USD%20102.18%21USD%2037.60%21%21USD%2037.60%21%21%21%402101d6ff17733601443865070ebc38%2112000047653294045%21ct%21US%216407866782%21%211%210%21&_gl=1*1yf2q9x*_gcl_au*MjA1NjAxNzA2NS4xNzcyNjYyNTQ1*_ga*MTcxMzY0NTY0OS4xNzczMDMzMzMw*_ga_VED1YSGNC7*czE3NzMzNTk2NjUkbzgkZzEkdDE3NzMzNjAxNDUkajYwJGwwJGgw&gatewayAdapt=glo2usa
3DTouch,1,$7.39,3D Touch,,https://www.aliexpress.us/item/3256805422565595.html?spm=a2g0o.cart.0.0.1d3738dasyHvDj&mp=1&pdp_npi=6%40dis%21USD%21USD%207.39%21USD%207.39%21%21USD%207.39%21%21%21%402101d6ff17733610202351431ebc3d%2112000033739671599%21ct%21US%216407866782%21%211%210%21&_gl=1*15apxbl*_gcl_au*MjA1NjAxNzA2NS4xNzcyNjYyNTQ1*_ga*MTcxMzY0NTY0OS4xNzczMDMzMzMw*_ga_VED1YSGNC7*czE3NzMzNTk2NjUkbzgkZzEkdDE3NzMzNjEwNjQkajUwJGwwJGgw&gatewayAdapt=glo2usa
Raspberry Pi 0 2W,1,$0.00,Running Klipper Firmware,I have one already,
"ILI9341 2.8"" SPI touchscreen",1,$0.00,Touchscreen to control the printer,I have one already,
DC 24V 15A 360W PSU,1,$17.98,Power Supply,24V 15A 360W,https://www.amazon.com/gp/product/B0146IAXYO/ref=ewc_pr_img_1?smid=A3R1K2GDMNRTEL&psc=1
LM2596S DC-DC Buck Converter,1,$0.00,Power Supply For the Pi,I have one already,
ADXL345 accelerometer module,1,$0.00,Input Shaping,I have one already,
Mechanical endstop limit switch,3,$4.59,To know the end of the axis,,https://www.amazon.com/MXRS-Hinge-Momentary-Button-Switch/dp/B088W8WMTB/ref=sr_1_5_hul_wg?crid=2NPLB1YYPMFBQ&dib=eyJ2IjoiMSJ9.ex_RKqTsRfnFyvR4UFB3kl6pxX4ZVETyrDY5pHF4LkymwBNc-VuE0_J9yKw1ePZgmnVj9MX03gT3nc1SUwnwQrgsddT0fktnOnT-Dqkvl-5Zln6oAQJYwBeySUoomBopAWcijFDaqumBHt6S1umtC8KyNQWwt7C5bBeuWCKUWw7_TH5vDJ6FK7vza8TU8FY3sXUyJSY7or8swvV1j_lXABW-Nq3YimbLHG5B_gYR9NJYXZqNZTB64MP2VMi5KvfCskiomZ0YzdhmrX2swMa4j8aMePTvVA3bQu5wYEkgSmw.-MAmAru90hTgsSanRv8Ly9a6UZ1d1uqQm10LN7O6WAc&dib_tag=se&keywords=Mechanical+endstop+limit+switch&qid=1773282484&s=bazaar&sprefix=mechanical+endstop+limit+switch%2Cbazaar%2C323&sr=1-5&srs=121974693011&psc=1
20awg Silicone Electrical Wire Cable,1,$9.98,Wires,"6 Colors, 20 AWG",https://www.amazon.com/Electrical-Gauge-Silicone-Cable-Black/dp/B08QVKJPZP/ref=sr_1_1_hul_wg?crid=3C0QIL1S5PUDZ&dib=eyJ2IjoiMSJ9.0I4IDxnVPNeoTxiovT4m3Z8qFsaAMTWJzK5-24t2CpfyDz_jQTySiTNI1irwu_m0PQ9pvlpcXUX-zdBpNizWF2dLUSp4lnTftudwhe8QOZbrWiVHnexnLTjfCvOOkrjN-7PHffvPws1hvEBtNWQoxWO1lSQb_O46o1AyYT7k-gErhAuHqw5FjbgITeJZBEXBvj28W_d7z5RsCYOLZZJvi2Bz4c9RSyZV92GwvC43jepPectj68MnEIHkhHsCoHmzzWjCajQvMI8dybv9_D_h8QN9izu__ESC0yfpT-UlIBk.C6CYEnXZyVoqShIm1mKTXO0YEeZxD1FuWxVJIqOE_HY&dib_tag=se&keywords=20awg%2B2%2Bwire%2Bsilicone%2Bstranded%2B10meters&qid=1773282981&s=bazaar&sprefix=20awg%2B2%2Bwire%2Bsilicone%2Bstranded%2B10meter%2Cbazaar%2C384&sr=1-1&srs=121974693011&th=1
16AWG silicone wire,1,$7.99,Wires for the Bed,,https://www.amazon.com/Silicone-Electrical-Cable%EF%BC%8810ft-Temperature-Resistant/dp/B0D93K21TN/ref=sr_1_8_hul_wg?crid=P34W78I028SC&dib=eyJ2IjoiMSJ9.qzYRMGA3rOvZuq1EEGGkvz-fp6tHoj9CrtKKRAJqi9GcREH5lh0N40Iz5H9FS1S321a1heSSGDITKaPmiEfTOfJ1TIpjUnX2TqQ-mhbQ-I1QEJdlM7lsRlEI-Wi8K45lnKY-75aBYnzdY4zyyJv73GOEQEzoke6rFSJAPTOQZOU0BBzfWXrFhRuw9DlYpvu7opLhZIMHOBFKooB5_gZHt7dMDppPSaGXIjppfYEus4RDEb9WSBYV-51do4CbgyQAcvFdq0BZIzGvQitv_JZXpg.SALgN8QU9qDNLEmnkrpk17unIdUmI1-9Nf5_n4cc_VI&dib_tag=se&keywords=16AWG+silicone+wire&qid=1773285891&s=bazaar&sprefix=16awg+silicone+wire%2Cbazaar%2C265&sr=1-8&srs=121974693011&psc=1
M3 Screws and Nuts Assortment,1,$7.20,Screws for everything besides the frame and joints,,https://www.amazon.com/Button-Socket-Assortment-Strength-Appliance/dp/B0F9Y9WQVV/ref=sr_1_18_hul_wg?crid=269UA6GT3C9T8&dib=eyJ2IjoiMSJ9.1D4ilAZmHX4HE0Ll6w4dD02foXnwCvzcXRC1Ewc1-avan5peNJM44a_8nbH-M5cAbkXZVbp5xU03fowIQHgMvtRHDq-6AgafWOIRsKaiNcNKXOkp5xtSNoj6kSiIyFcxqXzN6KUs84w80IKHYrNuqyjsnnC9cBLOAoBU9fokLAk0lDPn_b-ac6dKo9R-Q99ArJxKbsMnXZRvvhyXn1GfYy4scuOf1Dewp1FJH7cBh0lISxu74jdsiYXnr_GU5bvtJ80WzYCKGykSqsuxnqQa88ettK8Nekm5-wQtyB2t4rY.MMrHAl1jXzBUV6qANFVdQNl6DQ6frmduS5-Rv8vWSjE&dib_tag=se&keywords=M3+screw+%2B+nuts&qid=1773288266&s=bazaar&sprefix=m3+screw+%2B+nuts%2Cbazaar%2C319&sr=1-18&srs=121974693011&psc=1
8MM M3 Screws,1,$4.76,Because I will need more than the 20 in the kit,,https://www.amazon.com/720pcs-Assorted-Plastic-Furniture-Machinery/dp/B0GCLG1ZYB/ref=sr_1_22_hul_wg?dib=eyJ2IjoiMSJ9.QKnwRcDySKAeGysmYJh7N6eBSOzdIMD_D5v1wmJ3QZlMLwLWkEoiTg4rM4lWeXLf1N5AV7MOyWNU13QPx32EIEtI62S0dvijSiCCz-VlNHecVqGge8it0uY50kBRqzduyxYErRmK0aDpjnDVIhWJS4KkDUexOlXWD3YlSBw_mvhRfLgZGDKGiMk31vaemgb5nUqZzvwEviRisB0caEoOSYTQSREk1nseGFafi5OMTKrLsw4CyhknjY_7YDQr8STVV1dw1k2gTO-IgxWPksHM8z5EhHYwXvut0f_QRq6_JB8.LERhH7XyHArOIEvfRTSfvxtZKF1RihqmTz7cABfhY44&dib_tag=se&keywords=8mm+M3+screws&qid=1773288572&s=bazaar&sr=1-22&srs=121974693011&psc=1
M3 Heat Set Inserts,1,$4.13,Heat Set Inserts,,https://www.amazon.com/Threaded-Inserts-Embedment-Printing-Automotive/dp/B0DNVZPX2B/ref=sr_1_6_hul_wg?crid=20ED19YYJR421&dib=eyJ2IjoiMSJ9.3R5lYtkUw7olZDmbvTc996eu-542uO3WmrztoBhpx91jATjWONfy5yWMOs9TfgsffYE1MdUH4IL3TozT01tUxzJ30nNI7GN0jcDOW7h5VHA3tzxbj7eNnpLEb3GeeIkd7Ndtbwbo6feS0hJVOiOGG-qYImq-sZcF0uWPLh1ClHZFoasnIt0E2rZ-eopRPL9u_hM4E04Q3s_H76mp_VuJB0k8m9WYagpUmcZHt58lVKX9nQG8BcsiDTWSWkbGCxXqClD7N0UK1VAWlPKfBZKWapglJlxYdfPsnaK5tEz7-vE.LGMYP-Qv9P7vaO3EiTRHr8gTpWTGnvfRps62_rjDAmQ&dib_tag=se&keywords=M3+screw+%2B+nut+assortment+400pcs&qid=1773288138&s=bazaar&sprefix=mechanical+endstop+limit+switch%2Cbazaar%2C794&sr=1-6&srs=121974693011&psc=1
Inlet Module Plug Socket,1,$6.29,The power switch and adapter for the psu,,https://www.amazon.com/button-Adapter-Connector-Socket-MXRS/dp/B082ZFRV1B/ref=sr_1_2_hul_wg?crid=1CUD1X1MI0N0&dib=eyJ2IjoiMSJ9.GNKTdEIo12yyGCDVsXAj7hb5UvO8S2BXgq1QQ2SEL6jZR_KvIJ9SN9krexTWUnpxPTMqYRJ9M0c0ZGYp6XEGV38ogBQ-_6wrkc04k1o9rHj-bT69wbhl2LgxY8ctMJVlOtkiSsMd6roTLTxgtIkGJQ.omumxJQmZFPH1mGwPWZkgCLkX3wHKA4XnC18PBDji5A&dib_tag=se&keywords=C14+power+inlet+module+rocker+switch+fuse+10A&nsdOptOutParam=true&qid=1773295861&s=bazaar&sprefix=c14+power+inlet+module+rocker+switch+fuse+10a%2Cbazaar%2C930&sr=1-2&srs=121974693011&psc=1
NEMA 5-15P to IEC320 C13 Power Cord,1,$2.79,To plug into the wall,,https://www.amazon.com/Monoprice-Power-Cord-Monitors-Scanners/dp/B08TMFZTFZ/ref=sr_1_4?crid=1S1RPLVGGNT5Q&dib=eyJ2IjoiMSJ9.i_tcfZ3eg4gftH46YKCJS8ZlcWj0_otPX8Z5lD7oXWdZnfP5jGLDBs4fwYAlqgsek25ycn_OU8OzLTR-0v-jOv_FpwJNY1xhyaf452To62_WrN3ixhpcZTvK9Si0Txktp13SUCOteYMgVn_EwU6HqKKrD3on8gFfWfIG-PobINLyrYXX2WwGuntUjMqeSX5edsw3Q2EuDDHZGhn_WJ8aauNQoBMmL8YsHvMUTC2Oa9E.0J8IpwdyGrFtXyX8at5alHVxDEFSt3OrEBFz1G3b-VA&dib_tag=se&keywords=NEMA%2B5-15P%2Bto%2BIEC320%2BC13%2BPower%2BCord&qid=1774933887&sprefix=nema%2B5-15p%2Bto%2Biec320%2Bc13%2Bpower%2Bcord%2Caps%2C297&sr=8-4&th=1
Filament,1,$9.99,To test the printer,,https://www.amazon.com/Filament-Printing-Dimensional-Accuracy-Beginners/dp/B0F66GQHQ9/ref=sr_1_12?crid=1S152RAQUJKPS&dib=eyJ2IjoiMSJ9.whTAUgGoUlzM7anRnCeMzwcs7lDSevg_5d7mEfDE7mzfN1EJK_elAbQ5QVv4IE7wLrZ5tMwVYvywS7u07m-W5sYWxbSCEK7t81PCJXh5Pi_q7MExQg-EpQy8DkYIaNdMsZbaOEnKVr9vPq0rQo8e-S5t6S4URhnmmSirf9rrU-qMEdvc6bAVhulzAXr49vFLR7LfEL91CElPRjmh-GhHjc_SgB19DVR2K9zuGDjQoA8.lOBeQx2RV-0Ia8j90t8SzRp1SLFYDoES_0p7ZpVcYZI&dib_tag=se&keywords=filament+pla&qid=1774934084&sprefix=filament%2Caps%2C227&sr=8-12
TOTAL,40,$315.15,$346.67,,